model,kind,regularization_C,notes,train_f1,validation_f1,train_validation_gap,high_risk_precision,high_risk_recall,high_risk_f1,thresholds_high,thresholds_medium
Word+Char C=0.7,word_char,0.7,word+char,1.0,0.918862,0.081138,0.925373,0.826667,0.873239,0.4,0.5
Word+Char C=1.0,word_char,1.0,word+char,1.0,0.918785,0.081215,0.925373,0.826667,0.873239,0.4,0.5
Word+Char C=0.4,word_char,0.4,word+char,1.0,0.91744,0.08256,0.884354,0.866667,0.875421,0.35,0.5
Word+Char C=0.2,word_char,0.2,word+char,1.0,0.915275,0.084725,0.878378,0.866667,0.872483,0.35,0.4
Word+Char C=0.1,word_char,0.1,word+char,1.0,0.915147,0.084853,0.878378,0.866667,0.872483,0.35,0.4
Word+Char C=0.05,word_char,0.05,word+char,1.0,0.910961,0.089039,0.866667,0.866667,0.866667,0.35,0.4
Char 3-5 C=1.0,char,1.0,char_wb 3-5,1.0,0.90474,0.09526,0.915385,0.793333,0.85,0.45,0.45
Char 3-5 C=0.4,char,0.4,char_wb 3-5,1.0,0.903373,0.096627,0.884892,0.82,0.851211,0.4,0.4
Char 3-5 C=0.2,char,0.2,char_wb 3-5,1.0,0.902974,0.097026,0.896296,0.806667,0.849123,0.4,0.4
Char 3-5 C=0.7,char,0.7,char_wb 3-5,1.0,0.901349,0.098651,0.873239,0.826667,0.849315,0.4,0.4
Char 4-6 C=0.7,char,0.7,char_wb 4-6,1.0,0.900903,0.099097,0.889706,0.806667,0.846154,0.4,0.4
Char 4-6 C=1.0,char,1.0,char_wb 4-6,1.0,0.899888,0.100112,0.843137,0.86,0.851485,0.35,0.4
Char 4-6 C=0.2,char,0.2,char_wb 4-6,1.0,0.895391,0.104609,0.90625,0.773333,0.834532,0.4,0.4
Char 4-6 C=0.4,char,0.4,char_wb 4-6,1.0,0.893827,0.106173,0.887218,0.786667,0.833922,0.4,0.45
Char 4-6 C=0.03,char,0.03,char_wb 4-6,0.999259,0.890875,0.108385,0.848276,0.82,0.833898,0.35,0.35000000000000003
Char 3-5 C=0.1,char,0.1,char_wb 3-5,1.0,0.890808,0.109192,0.904762,0.76,0.826087,0.4,0.4
Char 3-5 C=0.03,char,0.03,char_wb 3-5,0.999259,0.889763,0.109496,0.816456,0.86,0.837662,0.35,0.35000000000000003
Char 4-6 C=0.1,char,0.1,char_wb 4-6,1.0,0.887616,0.112384,0.92437,0.733333,0.817844,0.4,0.4
Char 4-6 C=0.05,char,0.05,char_wb 4-6,1.0,0.887148,0.112852,0.823529,0.84,0.831683,0.35,0.35000000000000003
Char 3-6 C=1.0,char,1.0,char_wb 3-6,1.0,0.882541,0.117459,0.865672,0.773333,0.816901,0.45,0.4
Char 4-7 C=1.0,char,1.0,char_wb 4-7,1.0,0.881428,0.118572,0.839161,0.8,0.819113,0.4,0.4
Char 4-7 C=0.7,char,0.7,char_wb 4-7,1.0,0.881218,0.118782,0.843972,0.793333,0.817869,0.4,0.4
Char 4-7 C=0.4,char,0.4,char_wb 4-7,1.0,0.880281,0.119719,0.864662,0.766667,0.812721,0.4,0.45
Char 3-6 C=0.1,char,0.1,char_wb 3-6,1.0,0.879755,0.120245,0.875969,0.753333,0.810036,0.4,0.4
Char 3-5 C=0.05,char,0.05,char_wb 3-5,0.999259,0.879043,0.120217,0.797546,0.866667,0.830671,0.35,0.35000000000000003
Char 3-6 C=0.2,char,0.2,char_wb 3-6,1.0,0.876712,0.123288,0.836879,0.786667,0.810997,0.4,0.4
Char 3-5 C=0.01,char,0.01,char_wb 3-5,0.999259,0.875384,0.123875,0.894309,0.733333,0.805861,0.35,0.35000000000000003
Char 3-6 C=0.7,char,0.7,char_wb 3-6,1.0,0.875056,0.124944,0.868217,0.746667,0.802867,0.45,0.45
Char 3-6 C=0.4,char,0.4,char_wb 3-6,1.0,0.873852,0.126148,0.89916,0.713333,0.795539,0.45,0.45
Char 4-7 C=0.1,char,0.1,char_wb 4-7,1.0,0.873743,0.126257,0.905983,0.706667,0.794007,0.4,0.4
Char 4-7 C=0.2,char,0.2,char_wb 4-7,1.0,0.873157,0.126843,0.867188,0.74,0.798561,0.4,0.35000000000000003
Char 4-6 C=0.01,char,0.01,char_wb 4-6,1.0,0.87185,0.12815,0.920354,0.693333,0.790875,0.35,0.35000000000000003
Char 3-6 C=0.03,char,0.03,char_wb 3-6,0.997035,0.861917,0.135118,0.760479,0.846667,0.801262,0.35,0.35000000000000003
Char 3-6 C=0.05,char,0.05,char_wb 3-6,0.998518,0.855567,0.142951,0.748538,0.853333,0.797508,0.35,0.35000000000000003
Char 4-7 C=0.01,char,0.01,char_wb 4-7,0.999259,0.854296,0.144963,0.880342,0.686667,0.771536,0.35,0.35000000000000003
Char 3-6 C=0.01,char,0.01,char_wb 3-6,0.998518,0.853488,0.14503,0.850394,0.72,0.779783,0.35,0.35000000000000003
Char 4-7 C=0.05,char,0.05,char_wb 4-7,0.998518,0.853217,0.1453,0.745562,0.84,0.789969,0.35,0.35000000000000003
Char 4-7 C=0.03,char,0.03,char_wb 4-7,0.996293,0.852459,0.143834,0.757764,0.813333,0.784566,0.35,0.35000000000000003
